,pitcher,season,Age,Throws,Surgery,BB_release_speed_weighted_avg,FB_release_speed_weighted_avg,OS_release_speed_weighted_avg,OT_release_speed_weighted_avg,SB_release_speed_weighted_avg,BB_release_pos_x_weighted_avg,FB_release_pos_x_weighted_avg,OS_release_pos_x_weighted_avg,OT_release_pos_x_weighted_avg,SB_release_pos_x_weighted_avg,BB_release_pos_y_weighted_avg,FB_release_pos_y_weighted_avg,OS_release_pos_y_weighted_avg,OT_release_pos_y_weighted_avg,SB_release_pos_y_weighted_avg,BB_release_pos_z_weighted_avg,FB_release_pos_z_weighted_avg,OS_release_pos_z_weighted_avg,OT_release_pos_z_weighted_avg,SB_release_pos_z_weighted_avg,BB_vx0_weighted_avg,FB_vx0_weighted_avg,OS_vx0_weighted_avg,OT_vx0_weighted_avg,SB_vx0_weighted_avg,BB_vy0_weighted_avg,FB_vy0_weighted_avg,OS_vy0_weighted_avg,OT_vy0_weighted_avg,SB_vy0_weighted_avg,BB_vz0_weighted_avg,FB_vz0_weighted_avg,OS_vz0_weighted_avg,OT_vz0_weighted_avg,SB_vz0_weighted_avg
15,112526,2009,36.0,1,0.0,0.0,89.88897772783588,82.26511627906977,73.72222222222223,82.58541666666666,0.0,-1.3617859869766906,-1.6065116279069769,-2.048888888888889,-1.471458333333333,0.0,54.5,54.5,54.5,54.5,0.0,5.9735337251851215,5.936046511627907,6.586666666666667,6.162916666666667,0.0,5.796783670795544,4.578678947613733,-3.0760710391253827,3.360687846017392,0.0,-131.79765125938167,-120.59672415733849,-108.10140079931406,-121.05471207974966,0.0,-3.8031534325158693,-2.297530851525835,2.3377581109128167,-2.7646706114548887
16,112526,2011,38.0,1,0.0,0.0,92.300621786309,85.62238095238095,73.65555555555555,84.2790625,0.0,-1.0976720434042708,-1.2695714285714286,-0.902222222222222,-1.27015625,0.0,54.5,54.5,54.5,54.5,0.0,6.024346579992314,6.060476190476191,7.077777777777778,6.0883125,0.0,5.0004887908523,3.6015502348872017,9.22468638259756,2.0945091454302416,0.0,-135.23000274128253,-125.35227647922684,-107.61270896173924,-123.47341888895755,0.0,-4.640601160689487,-2.6666867191500163,-0.6291654326210154,-2.7320419051306186
17,112526,2012,39.0,1,0.0,0.0,91.02811599688359,83.45,78.2,83.52357142857143,0.0,-1.2062637692808953,-1.361578947368421,-1.35,-1.369,0.0,54.5,54.5,54.5,54.5,0.0,5.969073847178379,5.854868421052632,6.625,6.083357142857143,0.0,5.2361472741284505,5.156149100046771,1.9252007608642097,2.690046719805134,0.0,-133.36087958343836,-122.22404405388586,-114.4181498538281,-122.3426117960057,0.0,-4.100205066060884,-2.7460993810323013,2.119872830922063,-2.3457549489797587
18,112526,2013,40.0,1,0.0,0.0,90.79974747267121,83.09875776397516,0.0,83.63432835820896,0.0,-1.1539908698495749,-1.3216149068322982,0.0,-1.3909328358208954,0.0,54.5,54.5,0.0,54.5,0.0,5.861072641315519,5.805900621118012,0.0,5.894701492537314,0.0,5.095471132982063,4.884045478844232,0.0,2.885524410404959,0.0,-133.01526334055387,-121.67488444300038,0.0,-122.4600881136515,0.0,-3.770586937188208,-2.525673824348118,0.0,-2.421329180913622
19,112526,2014,41.0,1,0.0,0.0,89.7906377455893,81.98224852071006,77.45833333333333,82.93342391304348,0.0,-1.1722158680401797,-1.3680473372781063,-1.5783333333333331,-1.4928804347826088,0.0,54.5,54.5,54.5,54.5,0.0,5.847694126249797,5.746213017751479,6.704166666666667,5.816059782608695,0.0,4.660269746391079,4.308326939425952,1.3275216079356305,2.996842186074099,0.0,-131.64022282753098,-120.12469333092282,-113.54585409290296,-121.513006985338,0.0,-3.6080514565053683,-3.071392000142853,1.362851469210394,-1.7784569877828142
20,112526,2015,42.0,1,0.0,81.5,89.3535634975093,82.57525252525252,76.125,82.81384615384614,-1.20375,-0.9514159708422073,-1.116010101010101,-0.925,-1.2354615384615386,54.5,54.5,54.5,54.5,54.5,5.83,5.811417628345081,5.771161616161616,6.7780000000000005,5.808653846153846,3.027947557356756,4.21157499321479,3.988420314317834,5.01233376884306,3.623327125625654,-119.4305796756009,-131.00945779981262,-121.01897096808442,-111.3646458245911,-121.33270987234098,-2.5772417499803204,-3.4144349125136224,-2.524315079968498,1.348099902699608,-1.915941666014296
21,112526,2016,43.0,1,0.0,0.0,88.99549034919832,81.42727272727274,75.61250000000001,82.45,0.0,-1.172520944677163,-1.3216528925619837,-1.3725,-1.4165555555555556,0.0,54.5,54.5,54.5,54.5,0.0,5.843302909384178,5.784710743801654,6.567500000000001,5.784166666666668,0.0,4.83861692364505,4.439384375804558,3.3707752515521205,4.403117835657837,0.0,-130.44821621650973,-119.30880606425195,-110.71090266612892,-120.76331736031965,0.0,-3.0601595841836637,-2.678638534238817,0.9068041596167158,-1.4264735089930487
22,112526,2017,44.0,1,0.0,0.0,87.98628364950316,81.25135135135135,0.0,81.51325301204818,0.0,-1.4366062717770036,-1.5365765765765766,0.0,-1.6193975903614457,0.0,55.24046145309072,55.15837837837838,0.0,55.53987951807228,0.0,5.65548808878565,5.527882882882883,0.0,5.546807228915663,0.0,5.141207061488202,4.7252242740623975,0.0,5.398850279981594,0.0,-127.5278755055383,-117.85016935685488,0.0,-118.24400131845776,0.0,-3.991700347023635,-3.2270568121960004,0.0,-2.2367911473859663
23,112526,2018,45.0,1,0.0,0.0,87.23737143609156,80.7798387096774,0.0,80.47134146341463,0.0,-1.4268450838559517,-1.5001209677419356,0.0,-1.5670121951219511,0.0,55.36552198867838,55.26116935483872,0.0,55.724512195121946,0.0,5.545937917295383,5.468346774193549,0.0,5.533414634146341,0.0,4.257891268301017,4.20563782184424,0.0,4.223422811739257,0.0,-126.74139234424182,-117.35825566586526,0.0,-116.92023815193907,0.0,-3.2789714462003805,-2.9665552642568827,0.0,-2.083379762475745
24,113296,2008,37.0,1,0.0,75.36666666666666,90.12466666666666,82.56363636363636,0.0,84.45,-1.6733333333333331,-1.6966888888888891,-1.6463636363636365,0.0,-1.5825,54.5,54.5,54.5,0.0,54.5,6.213333333333334,6.194044444444444,6.225454545454546,0.0,6.27875,2.34642913245432,4.825543639527208,3.0748923379534308,0.0,4.048060881954188,-110.4288204182045,-132.0638144565948,-120.89869825359855,0.0,-123.6702980655056,2.871248449746325,-4.7428533562063135,-3.340521249315404,0.0,-3.8254878247995854
